pid;issn;eissn;doi;title;pidurl;pidurltoc;subjectcategory;primarysubectarea;originalcompany;media
2136;1612-1872;1612-1880;10.1002/(ISSN)1612-1880;CHEMISTRY & BIODIVERSITY;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1612-1880;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1612-1880/issues;Chemistry   ;Pharmaceutical & Medicinal Chemistry;Wiley;Print & Online
CIND;0009-3068;2047-6329;10.1002/(ISSN)2047-6329;CHEMISTRY & INDUSTRY;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2047-6329;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2047-6329/issues;Chemistry;General & Introductory Chemistry;Wiley;Print & Online
2111;0947-6539;1521-3765;10.1002/(ISSN)1521-3765;CHEMISTRY - A EUROPEAN JOURNAL;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3765;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3765/issues;Chemistry   ;General & Introductory Chemistry;Wiley;Print & Online
2451;1861-4728;1861-471X;10.1002/(ISSN)1861-471X;CHEMISTRY - AN ASIAN JOURNAL;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1861-471X;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1861-471X/issues;Chemistry   ;General & Introductory Chemistry;Wiley;Print & Online
2106;0944-5846;1521-3730;10.1002/(ISSN)1521-3730;CHEMKON - CHEMIE KONKRET, FORUM FUER UNTERRICHT UND DIDAKTIK;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3730;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3730/issues;Chemistry   ;General & Introductory Chemistry;Wiley;Print & Online
2452;1860-7179;1860-7187;10.1002/(ISSN)1860-7187;CHEMMEDCHEM;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1860-7187;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1860-7187/issues;Chemistry   ;Pharmaceutical & Medicinal Chemistry;Wiley;Print & Online
2267;1439-4235;1439-7641;10.1002/(ISSN)1439-7641;CHEMPHYSCHEM;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1439-7641;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1439-7641/issues;Chemistry   ;Physical Chemistry;Wiley;Print & Online
E688;;2192-6506;10.1002/(ISSN)2192-6506;CHEMPLUSCHEM;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2192-6506;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2192-6506/issues;Chemistry;General & Introductory Chemistry;Wiley;Online
2476;1864-5631;1864-564X;10.1002/(ISSN)1864-564X;CHEMSUSCHEM (ELECTRONIC) CHEMISTRY AND SUSTAINABILITY, ENERGY & MATERIALS;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1864-564X;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1864-564X/issues;Chemistry   ;Sustainable Chemistry & Green Chemistry;Wiley;Online
CFS;1356-7500;1365-2206;10.1111/(ISSN)1365-2206;CHILD & FAMILY SOCIAL WORK;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2206;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2206/issues;Humanities and Social Sciences;Social Work;Blackwell;Print & Online
CAR;0952-9136;1099-0852;10.1002/(ISSN)1099-0852;CHILD ABUSE REVIEW;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0852;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0852/issues;Humanities and Social Sciences;Childhood;Wiley;Print & Online
CAMH;1475-357X;1475-3588;10.1111/(ISSN)1475-3588;CHILD AND ADOLESCENT MENTAL HEALTH;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1475-3588;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1475-3588/issues;Psychology;Developmental Psychology;Blackwell;Print & Online
CDEV;0009-3920;1467-8624;10.1111/(ISSN)1467-8624;CHILD DEVELOPMENT;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8624;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8624/issues;Psychology;Developmental Psychology;Blackwell;Print & Online
CDEP;1750-8592;1750-8606;10.1111/(ISSN)1750-8606;CHILD DEVELOPMENT PERSPECTIVES;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1750-8606;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1750-8606/issues;Psychology;Developmental Psychology;Blackwell;Print & Online
CCH;0305-1862;1365-2214;10.1111/(ISSN)1365-2214;CHILD: CARE, HEALTH AND DEVELOPMENT;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2214;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2214/issues;Humanities and Social Sciences;Family Studies General;Blackwell;Print & Online
CHSO;0951-0605;1099-0860;10.1111/(ISSN)1099-0860;CHILDREN & SOCIETY;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1099-0860;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1099-0860/issues;Humanities and Social Sciences;Childhood;Blackwell;Print & Online
CWE;1671-2234;1749-124X;10.1111/(ISSN)1749-124X;CHINA AND WORLD ECONOMY;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1749-124X;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1749-124X/issues;Business, Economics, Finance and Accounting    ;General & Introductory Economics;Blackwell;Print & Online
E434;;1614-7065;10.1002/(ISSN)1614-7065;CHINESE JOURNAL OF CHEMISTRY  (ELECTRONIC);http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1614-7065;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1614-7065/issues;;General & Introductory Chemistry;Wiley;Online
CJG2;;2326-0440;10.1002/(ISSN)2326-0440;CHINESE JOURNAL OF GEOPHYSICS (ELECTRONIC);http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2326-0440;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2326-0440/issues;Earth and Environmental Science;Geophysics;Wiley;Online
CHIR;0899-0042;1520-636X;10.1002/(ISSN)1520-636X;CHIRALITY (ELECTRONIC);http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-636X;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-636X/issues;Chemistry   ;Organic Chemistry;Wiley;Online
2404;1436-2597;;;CITPLUS;Not on WOL;Not on WOL/issues;Business, Economics, Finance and Accounting    ;General & Introductory Business & Management;Wiley;
CICO;1535-6841;1540-6040;10.1111/(ISSN)1540-6040;CITY & COMMUNITY;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1540-6040;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1540-6040/issues;Humanities and Social Sciences;Urban Sociology;Blackwell;Print & Online
CISO;0893-0465;1548-744X;10.1111/(ISSN)1548-744X;CITY & SOCIETY;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1548-744X;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1548-744X/issues;Humanities and Social Sciences;General & Introductory Anthropology;Blackwell;Print & Online
CLA;0748-3007;1096-0031;10.1111/(ISSN)1096-0031;CLADISTICS;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1096-0031;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1096-0031/issues;Life Sciences;Evolutionary Biology;Blackwell;Print & Online
2047;1863-0650;1863-0669;10.1002/(ISSN)1863-0669;CLEAN - SOIL, AIR, WATER  (ELECTRONIC);http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1863-0669;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1863-0669/issues;Earth and Environmental Science;Environmental Chemistry;Wiley;Online
CEA;0954-7894;1365-2222;10.1111/(ISSN)1365-2222;CLINICAL & EXPERIMENTAL ALLERGY;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2222;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2222/issues;Medical, Veterinary and Health Sciences;Allergy & Clinical Immunology;Blackwell;Print & Online
CED;0307-6938;1365-2230;10.1111/(ISSN)1365-2230;CLINICAL & EXPERIMENTAL DERMATOLOGY;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2230;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2230/issues;Medical, Veterinary and Health Sciences;Dermatology;Blackwell;Print & Online
CEI;0009-9104;1365-2249;10.1111/(ISSN)1365-2249;CLINICAL & EXPERIMENTAL IMMUNOLOGY;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2249;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2249/issues;Medical, Veterinary and Health Sciences;Immunology;Blackwell;Print & Online
CEO;1442-6404;1442-9071;10.1111/(ISSN)1442-9071;CLINICAL & EXPERIMENTAL OPHTHALMOLOGY;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1442-9071;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1442-9071/issues;Medical, Veterinary and Health Sciences;Ophthalmology & Optometry;Blackwell;Print & Online
CA;0897-3806;1098-2353;10.1002/(ISSN)1098-2353;CLINICAL ANATOMY;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2353;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2353/issues;Life Sciences;Anatomy & Physiology;Wiley;Print & Online
CEN3;;1759-1961;10.1111/(ISSN)1759-1961;CLINICAL AND EXPERIMENTAL NEUROIMMUNOLOGY;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1759-1961;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1759-1961/issues;Medical, Veterinary and Health Sciences;Neurology;Blackwell;Online
CXO;0816-4622;1444-0938;10.1111/(ISSN)1444-0938;CLINICAL AND EXPERIMENTAL OPTOMETRY;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1444-0938;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1444-0938/issues;Medical, Veterinary and Health Sciences;Optometry;Blackwell;Print & Online
CEP;0305-1870;1440-1681;10.1111/(ISSN)1440-1681;CLINICAL AND EXPERIMENTAL PHARMACOLOGY AND PHYSIOLOGY (ELECTRONIC);http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1440-1681;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1440-1681/issues;Medical, Veterinary and Health Sciences;Pharmacology & Pharmaceutical Medicine;Blackwell;Online
CTS;1752-8054;1752-8062;10.1111/(ISSN)1752-8062;CLINICAL AND TRANSLATIONAL SCIENCE (ELECTRONIC);http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1752-8062;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1752-8062/issues;Medical, Veterinary and Health Sciences;Basic Medical Sciences;Blackwell;Online
CLC;0160-9289;1932-8737;10.1002/(ISSN)1932-8737;CLINICAL CARDIOLOGY;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1932-8737;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1932-8737/issues;Medical, Veterinary and Health Sciences;Cardiovascular Disease;Wiley;
CEN;0300-0664;1365-2265;10.1111/(ISSN)1365-2265;CLINICAL ENDOCRINOLOGY;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2265;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2265/issues;Medical, Veterinary and Health Sciences;Endocrinology;Blackwell;Print & Online
CGE;0009-9163;1399-0004;10.1111/(ISSN)1399-0004;CLINICAL GENETICS;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1399-0004;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1399-0004/issues;Life Sciences;Medical Genetics;Blackwell;Print & Online
CID;1523-0899;1708-8208;10.1111/(ISSN)1708-8208;CLINICAL IMPLANT DENTISTRY AND RELATED RESEARCH;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1708-8208;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1708-8208/issues;Medical, Veterinary and Health Sciences;Implant Dentistry;Blackwell;Print & Online
CLD3;;2046-2484;10.1002/(ISSN)2046-2484;CLINICAL LIVER DISEASE (ELECTRONIC);http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2046-2484;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2046-2484/issues;Medical, Veterinary and Health Sciences;Hepatology;Wiley;Online
CLM;1198-743X;1469-0691;10.1111/(ISSN)1469-0691;CLINICAL MICROBIOLOGY AND INFECTION;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1469-0691;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1469-0691/issues;Medical, Veterinary and Health Sciences;Infectious Disease & Microbiology;Blackwell;Print & Online
COB;1758-8103;1758-8111;10.1111/(ISSN)1758-8111;CLINICAL OBESITY;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1758-8111;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1758-8111/issues;Medical, Veterinary and Health Sciences;Obesity;Blackwell;Print & Online
CLR;0905-7161;1600-0501;10.1111/(ISSN)1600-0501;CLINICAL ORAL IMPLANTS RESEARCH;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0501;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0501/issues;Medical, Veterinary and Health Sciences;Implant Dentistry;Blackwell;Print & Online
COA;1749-4478;1749-4486;10.1111/(ISSN)1749-4486;CLINICAL OTOLARYNGOLOGY;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1749-4486;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1749-4486/issues;Medical, Veterinary and Health Sciences;Otolaryngology (Ear, Nose & Throat);Blackwell;Print & Online
CPF;1475-0961;1475-097X;10.1111/(ISSN)1475-097X;CLINICAL PHYSIOLOGY AND FUNCTIONAL IMAGING;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1475-097X;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1475-097X/issues;Medical, Veterinary and Health Sciences;Physiology;Blackwell;Print & Online
CP;1328-4207;1742-9552;10.1111/(ISSN)1742-9552;CLINICAL PSYCHOLOGIST;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1742-9552;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1742-9552/issues;Psychology;Psychology General;Blackwell;Print & Online
CPP;1063-3995;1099-0879;10.1002/(ISSN)1099-0879;CLINICAL PSYCHOLOGY AND PSYCHOTHERAPY (AN INTERNATIONAL JOURNAL OF THEORY & PRACTICE);http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0879;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0879/issues;Psychology;Clinical Psychology;Wiley;Print & Online
CPSP;0969-5893;1468-2850;10.1111/(ISSN)1468-2850;CLINICAL PSYCHOLOGY: SCIENCE AND PRACTICE;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-2850;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-2850/issues;Psychology;Clinical Psychology;Blackwell;Print & Online
CRJ;1752-6981;1752-699X;10.1111/(ISSN)1752-699X;THE CLINICAL RESPIRATORY JOURNAL;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1752-699X;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1752-699X/issues;Medical, Veterinary and Health Sciences;Respiratory Medicine;Blackwell;Print & Online
TCT;1743-4971;1743-498X;10.1111/(ISSN)1743-498X;THE CLINICAL TEACHER (ELECTRONIC);http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1743-498X;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1743-498X/issues;Medical, Veterinary and Health Sciences;Medical Professional Development;Blackwell;Online
CTR;0902-0063;1399-0012;10.1111/(ISSN)1399-0012;CLINICAL TRANSPLANTATION (ELECTRONIC);http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1399-0012;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1399-0012/issues;Medical, Veterinary and Health Sciences;Transplantation;Blackwell;Online
CNS;1755-5930;1755-5949;10.1111/(ISSN)1755-5949;CNS: NEUROSCIENCE AND THERAPEUTICS;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1755-5949;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1755-5949/issues;Life Sciences;Neuroscience;Blackwell;Print & Online
COGS;0364-0213;1551-6709;10.1111/(ISSN)1551-6709;COGNITIVE SCIENCE - A MULTIDISCIPLINARY JOURNAL  (ELECTRONIC);http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1551-6709;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1551-6709/issues;Psychology;Cognitive Science;Blackwell;Online
CATL;1552-8774;1943-7579;10.1002/(ISSN)1943-7579;COLLEGE ATHLETICS AND THE LAW;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1943-7579;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1943-7579/issues;Education;Higher Education General;Wiley;Print & Online
COL;0361-2317;1520-6378;10.1002/(ISSN)1520-6378;COLOR RESEARCH & APPLICATION;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6378;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6378/issues;Chemistry   ;Industrial Chemistry;Wiley;Print & Online
COTE;1472-3581;1478-4408;10.1111/(ISSN)1478-4408;COLORATION TECHNOLOGY;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1478-4408;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1478-4408/issues;Chemistry   ;Paints, Pigments, Coatings, Dyes;Blackwell;Print & Online
CODI;1462-8910;1463-1318;10.1111/(ISSN)1463-1318;COLORECTAL DISEASE;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1463-1318;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1463-1318/issues;Medical, Veterinary and Health Sciences;Surgery & Surgical Specialties;Blackwell;Print & Online
COMT;1050-3293;1468-2885;10.1111/(ISSN)1468-2885;COMMUNICATION THEORY;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-2885;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-2885/issues;Humanities and Social Sciences;Communication Theory;Blackwell;Print & Online
CCCR;1753-9129;1753-9137;10.1111/(ISSN)1753-9137;COMMUNICATION, CULTURE & CRITIQUE;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1753-9137;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1753-9137/issues;Humanities and Social Sciences;Communication Theory;Blackwell;Print & Online
CPA;0010-3640;1097-0312;10.1002/(ISSN)1097-0312;COMMUNICATIONS ON PURE & APPLIED MATHEMATICS;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0312;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0312/issues;Mathematics and Statistics;Applied Mathematics;Wiley;Print & Online
CDOE;0301-5661;1600-0528;10.1111/(ISSN)1600-0528;COMMUNITY DENTISTRY AND ORAL EPIDEMIOLOGY;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0528;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0528/issues;Medical, Veterinary and Health Sciences;General Dentistry;Blackwell;Print & Online
CPLX;1076-2787;1099-0526;10.1002/(ISSN)1099-0526;COMPLEXITY (ELECTRONIC);http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0526;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0526/issues;Mathematics and Statistics;Chaos / Fractal / Dynamical Systems;Wiley;Online
CRF3;;1541-4337;10.1111/(ISSN)1541-4337;COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1541-4337;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1541-4337/issues;Humanities and Social Sciences;General & Introductory Food Science & Technology;Blackwell;Online
COIN;0824-7935;1467-8640;10.1111/(ISSN)1467-8640;COMPUTATIONAL INTELLIGENCE;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8640;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8640/issues;Information Science and Computing;General & Introductory Computer Science;Blackwell;Print & Online
CAV;1546-4261;1546-427X;10.1002/(ISSN)1546-427X;COMPUTER ANIMATION AND VIRTUAL WORLDS (PREV: JNL OF VISUALISATION & COMPUTER ANIMATION);http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1546-427X;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1546-427X/issues;Information Science and Computing;Computer Graphics;Wiley;Online
CAE;1061-3773;1099-0542;10.1002/(ISSN)1099-0542;COMPUTER APPLICATIONS IN ENGINEERING EDUCATION;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0542;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0542/issues;Engineering ;General & Introductory Computer Science;Wiley;Print & Online
CGF;0167-7055;1467-8659;10.1111/(ISSN)1467-8659;COMPUTER GRAPHICS FORUM (ELECTRONIC);http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8659;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8659/issues;Information Science and Computing;Computer Graphics;Blackwell;Online
MICE;1093-9687;1467-8667;10.1111/(ISSN)1467-8667;COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8667;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8667/issues;Engineering ;General & Introductory Civil Engineering & Construction;Blackwell;Print & Online
CMR;1546-6086;1552-5023;10.1002/(ISSN)1552-5023;CONCEPTS IN MAGNETIC RESONANCE  (ELECTRONIC);http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1552-5023;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1552-5023/issues;Medical, Veterinary and Health Sciences;Radiology & Imaging;Wiley;Online
CPE;1532-0626;1532-0634;10.1002/(ISSN)1532-0634;CONCURRENCY AND COMPUTATION: PRACTICE & EXPERIENCE (ELECTRONIC);http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1532-0634;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1532-0634/issues;Information Science and Computing;Programming & Software Development;Wiley;Online
CRQ;1536-5581;1541-1508;10.1002/(ISSN)1541-1508;CONFLICT RESOLUTION QUARTERLY;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1541-1508;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1541-1508/issues;Business, Economics, Finance and Accounting    ;Negotiation & Conflict Resolution;Wiley;Print & Online
CGA;0914-3505;1741-4520;10.1111/(ISSN)1741-4520;CONGENITAL ANOMALIES (ELECTRONIC);http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1741-4520;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1741-4520/issues;Life Sciences;Genetics;Blackwell;Online
CHD;1747-079X;1747-0803;10.1111/(ISSN)1747-0803;CONGENITAL HEART DISEASE;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1747-0803;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1747-0803/issues;Medical, Veterinary and Health Sciences;Cardiovascular Disease;Blackwell;Print & Online
CBP;1936-2145;1936-6779;10.1111/(ISSN)1936-6779;CONSERVATION;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1936-6779;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1936-6779/issues;Life Sciences;Conservation Science;Blackwell;Print & Online
COBI;0888-8892;1523-1739;10.1111/(ISSN)1523-1739;CONSERVATION BIOLOGY;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1523-1739;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1523-1739/issues;Life Sciences;Conservation Science;Blackwell;Print & Online
CON4;;1755-263X;10.1111/(ISSN)1755-263X;CONSERVATION LETTERS (ELECTRONIC);http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1755-263X;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1755-263X/issues;Life Sciences;Conservation Science;Blackwell;Online
CONS;1351-0487;1467-8675;10.1111/(ISSN)1467-8675;CONSTELLATIONS: AN INTERNATIONAL JOURNAL OF CRITICAL AND DEMOCRATIC THEORY;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8675;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8675/issues;Humanities and Social Sciences;General & Introductory Political Science;Blackwell;Print & Online
COD;0105-1873;1600-0536;10.1111/(ISSN)1600-0536;CONTACT DERMATITIS;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0536;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0536/issues;Medical, Veterinary and Health Sciences;Dermatology;Blackwell;Print & Online
CARE;0823-9150;1911-3846;10.1111/(ISSN)1911-3846;CONTEMPORARY ACCOUNTING RESEARCH;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1911-3846;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1911-3846/issues;Business, Economics, Finance and Accounting;Financial Accounting;Wiley;Print & Online
COEP;1074-3529;1465-7287;10.1111/(ISSN)1465-7287;CONTEMPORARY ECONOMIC POLICY;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1465-7287;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1465-7287/issues;Business, Economics, Finance and Accounting    ;Public Economics;Blackwell;Print & Online
CMMI;1555-4309;1555-4317;10.1002/(ISSN)1555-4317;CONTRAST MEDIA & MOLECULAR IMAGING  (ELECTRONIC);http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1555-4317;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1555-4317/issues;Medical, Veterinary and Health Sciences;Radiology & Imaging;Wiley;Online
2222;0863-1042;1521-3986;10.1002/(ISSN)1521-3986;CONTRIBUTIONS TO PLASMA PHYSICS  (ELECTRONIC);http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3986;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3986/issues;Physics and Astronomy;General & Introductory Physics;Wiley;Online
CORG;0964-8410;1467-8683;10.1111/(ISSN)1467-8683;CORPORATE GOVERNANCE;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8683;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8683/issues;Business, Economics, Finance and Accounting    ;Corporate Governance;Blackwell;Print & Online
CPRT;0885-8365;1949-3207;10.1002/(ISSN)1949-3207;CORPORATE PHILANTHROPY REPORT;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1949-3207;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1949-3207/issues;Business, Economics, Finance and Accounting    ;Business & Management Special Topics;Wiley;Print & Online
CSR;1535-3958;1535-3966;10.1002/(ISSN)1535-3966;CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1535-3966;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1535-3966/issues;Humanities and Social Sciences;General & Introductory Development Studies;Wiley;Print & Online
CVJ;0160-7960;2161-007X;10.1002/(ISSN)2161-007X;COUNSELING AND VALUES;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2161-007X;http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2161-007X/issues;Humanities and Social Sciences;Psychotherapy & Counseling;Wiley;Print & Online
