title;pid;url;issn;eissn
Revue d'économie du développement;revue-d-economie-du-developpement;http://www.cairn.info/revue-d-economie-du-developpement.htm;1245-4060;1782-1517
Revue d'économie industrielle;revue-d-economie-industrielle;http://www.cairn.info/revue-d-economie-industrielle.htm;0154-3229;1773-0198
Revue d'économie politique;revue-d-economie-politique;http://www.cairn.info/revue-d-economie-politique.htm;0373-2630;2105-2883
Revue d’Économie Régionale & Urbaine;revue-d-economie-regionale-et-urbaine;http://www.cairn.info/revue-d-economie-regionale-et-urbaine.htm;0180-7307;2107-0865
Revue d'éthique et de théologie morale;revue-d-ethique-et-de-theologie-morale;http://www.cairn.info/revue-d-ethique-et-de-theologie-morale.htm;1266-0078;2118-4518
Revue d'Histoire des Sciences Humaines;revue-histoire-des-sciences-humaines;http://www.cairn.info/revue-histoire-des-sciences-humaines.htm;1622-468X;1963-1022
Revue d’histoire du XIX<sup>e</sup> siècle;revue-d-histoire-du-dix-neuvieme-siecle;http://www.cairn.info/revue-d-histoire-du-dix-neuvieme-siecle.htm;1265-1354;1777-5329
Revue d'histoire littéraire de la France;revue-d-histoire-litteraire-de-la-france;http://www.cairn.info/revue-d-histoire-litteraire-de-la-france.htm;0035-2411;2105-2689
Revue d’histoire moderne et contemporaine;revue-d-histoire-moderne-et-contemporaine;http://www.cairn.info/revue-d-histoire-moderne-et-contemporaine.htm;0048-8003;1776-3045
Revue d'histoire des sciences;revue-d-histoire-des-sciences;http://www.cairn.info/revue-d-histoire-des-sciences.htm;0151-4105;1969-6582
Revue de l'histoire des religions;revue-de-l-histoire-des-religions;http://www.cairn.info/revue-de-l-histoire-des-religions.htm;0035-1423;2105-2573
Revue de l'OFCE;revue-de-l-ofce;http://www.cairn.info/revue-de-l-ofce.htm;1265-9576;1777-5647
Revue de l’organisation responsable;revue-de-l-organisation-responsable;http://www.cairn.info/revue-de-l-organisation-responsable.htm;1951-0187;2105-3022
Revue de la BNF;revue-de-la-bibliotheque-nationale-de-france;http://www.cairn.info/revue-de-la-bibliotheque-nationale-de-france.htm;1254-7700;2118-3376
Revue de l’Entrepreneuriat;revue--de-l-entrepreneuriat;http://www.cairn.info/revue--de-l-entrepreneuriat.htm;1766-2524;1630-7542
Revue de littérature comparée;revue-de-litterature-comparee;http://www.cairn.info/revue-de-litterature-comparee.htm;0035-1466;1965-0264
Revue de métaphysique et de morale;revue-de-metaphysique-et-de-morale;http://www.cairn.info/revue-de-metaphysique-et-de-morale.htm;0035-1571;2102-5177
Revue de philologie, de littérature et d'histoire anciennes;revue-de-philologie-litterature-et-histoire-anciennes;http://www.cairn.info/revue-de-philologie-litterature-et-histoire-anciennes.htm;0035-1652;1760-8430
Revue de philosophie économique;revue-de-philosophie-economique;http://www.cairn.info/revue-de-philosophie-economique.htm;1376-0971;2118-4852
Revue de psychothérapie psychanalytique de groupe;revue-de-psychotherapie-psychanalytique-de-groupe;http://www.cairn.info/revue-de-psychotherapie-psychanalytique-de-groupe.htm;0297-1194;1776-2863
La Revue des Sciences de Gestion;revue-des-sciences-de-gestion;http://www.cairn.info/revue-des-sciences-de-gestion.htm;1160-7742;1760-6136
Revue des sciences philosophiques et théologiques;revue-des-sciences-philosophiques-et-theologiques;http://www.cairn.info/revue-des-sciences-philosophiques-et-theologiques.htm;0035-2209;2118-4445
Revue du MAUSS;revue-du-mauss;http://www.cairn.info/revue-du-mauss.htm;1247-4819;1776-3053
Revue économique;revue-economique;http://www.cairn.info/revue-economique.htm;0035-2764;1950-6694
Revue européenne des migrations internationales;revue-europeenne-des-migrations-internationales;http://www.cairn.info/revue-europeenne-des-migrations-internationales.htm;0765-0752;1777-5418
Revue européenne des sciences sociales;revue-europeenne-des-sciences-sociales;http://www.cairn.info/revue-europeenne-des-sciences-sociales.htm;0048-8046;1663-4446
Revue française d'administration publique;revue-francaise-d-administration-publique;http://www.cairn.info/revue-francaise-d-administration-publique.htm;0152-7401;1965-0620
Revue française d'économie;revue-francaise-d-economie;http://www.cairn.info/revue-francaise-d-economie.htm;0769-0479;N/A
Revue française d’études américaines;revue-francaise-d-etudes-americaines;http://www.cairn.info/revue-francaise-d-etudes-americaines.htm;0397-7870;1776-3061
Revue Française d'Histoire des Idées Politiques;revue-francaise-d-histoire-des-idees-politiques;http://www.cairn.info/revue-francaise-d-histoire-des-idees-politiques.htm;1266-7862;2119-3851
Revue française de droit constitutionnel;revue-francaise-de-droit-constitutionnel;http://www.cairn.info/revue-francaise-de-droit-constitutionnel.htm;1151-2385;2105-2867
Revue française de gestion;revue-francaise-de-gestion;http://www.cairn.info/revue-francaise-de-gestion.htm;0338-4551;1777-5663
Revue française de linguistique appliquée;revue-francaise-de-linguistique-appliquee;http://www.cairn.info/revue-francaise-de-linguistique-appliquee.htm;1386-1204;1875-368X
Revue française de pédagogie;revue-francaise-de-pedagogie;http://www.cairn.info/revue-francaise-de-pedagogie.htm;0556-7807;2105-2913
Revue française de psychanalyse;revue-francaise-de-psychanalyse;http://www.cairn.info/revue-francaise-de-psychanalyse.htm;0035-2942;2105-2964
Revue française de psychosomatique;revue-francaise-de-psychosomatique;http://www.cairn.info/revue-francaise-de-psychosomatique.htm;1164-4796;2105-2603
Revue française de science politique;revue-francaise-de-science-politique;http://www.cairn.info/revue-francaise-de-science-politique.htm;0035-2950;1950-6686
Revue française de science politique (English);revue-francaise-de-science-politique-english;http://www.cairn.info/revue-francaise-de-science-politique-english.htm;2263-7494;N/A
Revue Française de Socio-Économie;revue-francaise-de-socio-economie;http://www.cairn.info/revue-francaise-de-socio-economie.htm;1966-6608;2104-3833
Revue française de sociologie;revue-francaise-de-sociologie;http://www.cairn.info/revue-francaise-de-sociologie.htm;0035-2969;1958-5691
Revue française de sociologie  (English);revue-revue-francaise-de-sociologie-english;http://www.cairn.info/revue-revue-francaise-de-sociologie-english.htm;N/A;N/A
Revue française des affaires sociales;revue-francaise-des-affaires-sociales;http://www.cairn.info/revue-francaise-des-affaires-sociales.htm;0035-2985;2111-4358
Revue historique;revue-historique;http://www.cairn.info/revue-historique.htm;0035-3264;2104-3825
Revue internationale d'intelligence économique;revue-internationale-d-intelligence-economique;http://www.cairn.info/revue-internationale-d-intelligence-economique.htm;2101-647X;2102-6408
Revue internationale de droit économique;revue-internationale-de-droit-economique;http://www.cairn.info/revue-internationale-de-droit-economique.htm;1010-8831;1782-1525
Revue internationale de droit pénal;revue-internationale-de-droit-penal;http://www.cairn.info/revue-internationale-de-droit-penal.htm;0223-5404;1951-6312
La revue internationale de l'éducation familiale;revue-la-revue-internationale-de-l-education-familiale;http://www.cairn.info/revue-la-revue-internationale-de-l-education-familiale.htm;1279-7766;1968-388X
Revue internationale de philosophie;revue-internationale-de-philosophie;http://www.cairn.info/revue-internationale-de-philosophie.htm;0048-8143;2033-0138
Revue internationale de politique comparée;revue-internationale-de-politique-comparee;http://www.cairn.info/revue-internationale-de-politique-comparee.htm;1370-0731;1782-1533
Revue internationale de psychologie sociale;revue-internationale-de-psychologie-sociale;http://www.cairn.info/revue-internationale-de-psychologie-sociale.htm;0992-986X;2119-4130
Revue internationale de psychosociologie et de gestion des comportements organisationnels;revue-internationale-de-psychosociologie;http://www.cairn.info/revue-internationale-de-psychosociologie.htm;1260-1705;2105-2662
Revue internationale de soins palliatifs;revue-infokara;http://www.cairn.info/revue-infokara.htm;1664-1531;N/A
Revue Internationale des Sciences Administratives;revue-internationale-des-sciences-administratives;http://www.cairn.info/revue-internationale-des-sciences-administratives.htm;0303-965X;N/A
Revue internationale des sciences sociales ;revue-internationale-des-sciences-sociales;http://www.cairn.info/revue-internationale-des-sciences-sociales.htm;0304-3037;2222-4610
Revue internationale et stratégique;revue-internationale-et-strategique;http://www.cairn.info/revue-internationale-et-strategique.htm;1287-1672;2104-3876
La revue lacanienne;revue-la-revue-lacanienne;http://www.cairn.info/revue-la-revue-lacanienne.htm;1967-2055;2109-9553
Revue philosophique de la France et de l'étranger;revue-philosophique;http://www.cairn.info/revue-philosophique.htm;0035-3833;2104-385X
Revue Tiers Monde;revue-tiers-monde;http://www.cairn.info/revue-tiers-monde.htm;1293-8882;1963-1359
RIMHE;revue-rimhe;http://www.cairn.info/revue-rimhe.htm;2259-2490;2260-5584
Rives méditerranéennes;revue-rives-mediterraneennes;http://www.cairn.info/revue-rives-mediterraneennes.htm;2103-4001;2119-4696
Romantisme;revue-romantisme;http://www.cairn.info/revue-romantisme.htm;0048-8593;1957-7958
Rue Descartes;revue-rue-descartes;http://www.cairn.info/revue-rue-descartes.htm;1144-0821;2102-5819
Santé Publique;revue-sante-publique;http://www.cairn.info/revue-sante-publique.htm;0995-3914;2104-3841
Savoirs;revue-savoirs;http://www.cairn.info/revue-savoirs.htm;1763-4229;2111-4390
Savoirs et clinique;revue-savoirs-et-cliniques;http://www.cairn.info/revue-savoirs-et-cliniques.htm;1634-3298;1776-2871
Sciences Eaux & Territoires;revue-sciences-eaux-et-territoires;http://www.cairn.info/revue-sciences-eaux-et-territoires.htm;1775-3783;N/A
Sociétés;revue-societes;http://www.cairn.info/revue-societes.htm;0765-3697;1782-155X
Sociétés contemporaines;revue-societes-contemporaines;http://www.cairn.info/revue-societes-contemporaines.htm;1150-1944;1950-6899
Sociétés & Représentations;revue-societes-et-representations;http://www.cairn.info/revue-societes-et-representations.htm;1262-2966;2104-404X
Le sociographe;revue-le-sociographe;http://www.cairn.info/revue-le-sociographe.htm;1297-6628;2107-0636
Sociologie;revue-sociologie;http://www.cairn.info/revue-sociologie.htm;2108-8845;2108-6915
Sociologies pratiques;revue-sociologies-pratiques;http://www.cairn.info/revue-sociologies-pratiques.htm;1295-9278;2104-3787
Spirale;revue-spirale;http://www.cairn.info/revue-spirale.htm;1278-4699;1951-6274
Staps;revue-staps;http://www.cairn.info/revue-staps.htm;0247-106X;1782-1568
Sud/Nord;revue-sud-nord;http://www.cairn.info/revue-sud-nord.htm;1265-2067;1776-288X
Techniques & Culture;revue-techniques-et-culture;http://www.cairn.info/revue-techniques-et-culture.htm;0248-6016;1952-420X
Le Télémaque;revue-le-telemaque;http://www.cairn.info/revue-le-telemaque.htm;1263-588X;2118-2191
Le Temps des médias;revue-le-temps-des-medias;http://www.cairn.info/revue-le-temps-des-medias.htm;1764-2507;2104-3671
Terrain;revue-terrain;http://www.cairn.info/revue-terrain.htm;0760-5668;1777-5450
Terrains & travaux;revue-terrains-et-travaux;http://www.cairn.info/revue-terrains-et-travaux.htm;1627-9506;2104-3779
Thérapie Familiale;revue-therapie-familiale;http://www.cairn.info/revue-therapie-familiale.htm;0250-4952;en cours
Topique;revue-topique;http://www.cairn.info/revue-topique.htm;0040-9375;1965-0604
Tracés;revue-traces;http://www.cairn.info/revue-traces.htm;1763-0061;1963-1812
Travail et emploi;revue-travail-et-emploi;http://www.cairn.info/revue-travail-et-emploi.htm;0224-4365;1775-416X
Le travail humain;revue-le-travail-humain;http://www.cairn.info/revue-le-travail-humain.htm;0041-1868;2104-3663
Travail, genre et sociétés;revue-travail-genre-et-societes;http://www.cairn.info/revue-travail-genre-et-societes.htm;1294-6303;2105-2174
Travailler;revue-travailler;http://www.cairn.info/revue-travailler.htm;1620-5340;2102-5150
Travaux de linguistique;revue-travaux-de-linguistique;http://www.cairn.info/revue-travaux-de-linguistique.htm;0082-6049;1782-1576
Les Tribunes de la santé;revue-les-tribunes-de-la-sante;http://www.cairn.info/revue-les-tribunes-de-la-sante.htm;1765-8888;2105-2182
Tumultes;revue-tumultes;http://www.cairn.info/revue-tumultes.htm;1243-549X;2118-2892
Vie & sciences de l'entreprise;revue-vie-et-sciences-de-l-entreprise;http://www.cairn.info/revue-vie-et-sciences-de-l-entreprise.htm;0336-142X;2118-3325
Vingtième Siècle. Revue d'histoire;revue-vingtieme-siecle-revue-d-histoire;http://www.cairn.info/revue-vingtieme-siecle-revue-d-histoire.htm;0294-1759;1950-6678
Volume !;revue-volume;http://www.cairn.info/revue-volume.htm;1634-5495;1950-568X
VST - Vie sociale et traitements;revue-vie-sociale-et-traitements;http://www.cairn.info/revue-vie-sociale-et-traitements.htm;0396-8669;1776-2898
L’Année psychanalytique internationale;revue-l-annee-psychanalytique-internationale;http://www.cairn.info/revue-l-annee-psychanalytique-internationale.htm;1661-8009;N/A
L'Autre;revue-l-autre;http://www.cairn.info/revue-l-autre.htm;1626-5378;N/A
Les Cahiers du Centre Georges Canguilhem;revue-les-cahiers-du-centre-georges-canguilhem;http://www.cairn.info/revue-les-cahiers-du-centre-georges-canguilhem.htm;1962-1086;N/A
Cahiers philosophiques;revue-cahiers-philosophiques;http://www.cairn.info/revue-cahiers-philosophiques.htm;0241-2799;N/A
Carnet de notes sur les maltraitances infantiles;revue-carnet-de-notes-sur-les-maltraitances-infantiles;http://www.cairn.info/revue-carnet-de-notes-sur-les-maltraitances-infantiles.htm;N/A;N/A
Chimères;revue-chimeres;http://www.cairn.info/revue-chimeres.htm;0986-6035;2111-4412
Comptabilité - Contrôle - Audit;revue-comptabilite-controle-audit;http://www.cairn.info/revue-comptabilite-controle-audit.htm;1262-2788;N/A
Contraste;revue-contraste;http://www.cairn.info/revue-contraste.htm;1254-7689;N/A
Développements;revue-developpements;http://www.cairn.info/revue-developpements.htm;N/A;N/A
L'Espace géographique (English Edition);revue-espace-geographique-english;http://www.cairn.info/revue-espace-geographique-english.htm;N/A;N/A
Esprit;revue-esprit;http://www.cairn.info/revue-esprit.htm;0014-0759;2111-4579
Etudes économiques de l’OCDE;revue-etudes-economiques-de-l-ocde;http://www.cairn.info/revue-etudes-economiques-de-l-ocde.htm;0304-3363;1684-3428
L'Expansion Management Review;revue-l-expansion-management-review;http://www.cairn.info/revue-l-expansion-management-review.htm;1254-3179;N/A
Gérer et comprendre;revue-gerer-et-comprendre;http://www.cairn.info/revue-gerer-et-comprendre.htm;0295-4397;N/A
Gestion et management public;revue-gestion-et-management-public;http://www.cairn.info/revue-gestion-et-management-public.htm;N/A;2116-8865
Histoire de la justice;revue-histoire-de-la-justice;http://www.cairn.info/revue-histoire-de-la-justice.htm;1639-4399;N/A
Histoire, monde et cultures religieuses;revue-histoire-monde-et-cultures-religieuses;http://www.cairn.info/revue-histoire-monde-et-cultures-religieuses.htm;1957-5246;N/A
Hommes & Migrations;revue-hommes-et-migrations;http://www.cairn.info/revue-hommes-et-migrations.htm;0223-3290;N/A
Idées économiques et sociales;revue-idees-economiques-et-sociales;http://www.cairn.info/revue-idees-economiques-et-sociales.htm;2257-5111;2264-2749
L'information psychiatrique;revue-l-information-psychiatrique;http://www.cairn.info/revue-l-information-psychiatrique.htm;0020-0204;N/A
Journal de gestion et d'économie médicales;revue-journal-de-gestion-et-d-economie-medicales;http://www.cairn.info/revue-journal-de-gestion-et-d-economie-medicales.htm;2262-5305;N/A
Journal de la psychanalyse de l'enfant;revue-journal-de-la-psychanalyse-de-l-enfant;http://www.cairn.info/revue-journal-de-la-psychanalyse-de-l-enfant.htm;0994-7949;N/A
Journal du droit des jeunes;revue-journal-du-droit-des-jeunes;http://www.cairn.info/revue-journal-du-droit-des-jeunes.htm;2114-2068;N/A
Laennec;revue-laennec;http://www.cairn.info/revue-laennec.htm;1272-520X;2262-483X
Littératures classiques;revue-litteratures-classiques;http://www.cairn.info/revue-litteratures-classiques.htm;2260-8478;N/A
Marché et organisations;revue-marche-et-organisations;http://www.cairn.info/revue-marche-et-organisations.htm;1953-6119;N/A
Médium;revue-medium;http://www.cairn.info/revue-medium.htm;1771-3757;N/A
Monde(s);revue-mondes;http://www.cairn.info/revue-mondes.htm;N/A;N/A
Nouvelle revue d’esthétique;revue-nouvelle-revue-d-esthetique;http://www.cairn.info/revue-nouvelle-revue-d-esthetique.htm;2264-2595;N/A
Pardès;revue-pardes;http://www.cairn.info/revue-pardes.htm;0295-5652;N/A
Perspectives économiques de l'OCDE;revue-perspectives-economiques-de-l-ocde;http://www.cairn.info/revue-perspectives-economiques-de-l-ocde.htm;0304-3274;1684-3436
Politique africaine;revue-politique-africaine;http://www.cairn.info/revue-politique-africaine.htm;0244-7827;N/A
Politique américaine;revue-politique-americaine;http://www.cairn.info/revue-politique-americaine.htm;1771-8848;N/A
Politiques et gestion de l'enseignement supérieur;revue-politiques-et-gestion-de-l-enseignement-superieur;http://www.cairn.info/revue-politiques-et-gestion-de-l-enseignement-superieur.htm;1682-346X;1684-3592
Présence Africaine;revue-presence-africaine;http://www.cairn.info/revue-presence-africaine.htm;0032-7638;N/A
PSN;revue-psn;http://www.cairn.info/revue-psn.htm;1955-2351;N/A
Quaderni;revue-quaderni;http://www.cairn.info/revue-quaderni.htm;0987-1381;2105-2956
Réalités industrielles;revue-realites-industrielles;http://www.cairn.info/revue-realites-industrielles.htm;1148-7941;N/A
Réformes économiques;revue-reformes-economiques;http://www.cairn.info/revue-reformes-economiques.htm;1813-2731;1813-274X
Repères, cahier de danse;revue-reperes-cahier-de-danse;http://www.cairn.info/revue-reperes-cahier-de-danse.htm;2112-5147;N/A
Responsabilité et environnement;revue-responsabilite-et-environnement;http://www.cairn.info/revue-responsabilite-et-environnement.htm;1268-4783;N/A
Revue de gestion des ressources humaines;revue-de-gestion-des-ressources-humaines;http://www.cairn.info/revue-de-gestion-des-ressources-humaines.htm;1163-913X;N/A
Revue de l'OCDE sur le développement;revue-de-l-ocde-sur-le-developpement;http://www.cairn.info/revue-de-l-ocde-sur-le-developpement.htm;1992-0490;1996-5753
Revue de neuropsychologie;revue-de-neuropsychologie;http://www.cairn.info/revue-de-neuropsychologie.htm;2101-6739;N/A
Revue de Psychologie Analytique;revue-de-psychologie-analytique;http://www.cairn.info/revue-de-psychologie-analytique.htm;N/A;N/A
Revue du Nord;revue-du-nord;http://www.cairn.info/revue-du-nord.htm;0035-2624;N/A
Revue économique de l'OCDE;revue-economique-de-l-ocde;http://www.cairn.info/revue-economique-de-l-ocde.htm;0255-0830;1684-3444
Revue interdisciplinaire d'études juridiques;revue-interdisciplinaire-d-etudes-juridiques;http://www.cairn.info/revue-interdisciplinaire-d-etudes-juridiques.htm;0770-2310;N/A
Revue sur le droit et la politique de la concurrence;revue-sur-le-droit-et-la-politique-de-la-concurrence;http://www.cairn.info/revue-sur-le-droit-et-la-politique-de-la-concurrence.htm;1560-7798;1684-3452
Les Sciences de l'éducation - Pour l'Ère nouvelle;revue-les-sciences-de-l-education-pour-l-ere-nouvelle;http://www.cairn.info/revue-les-sciences-de-l-education-pour-l-ere-nouvelle.htm;0755-9593;N/A
Sciences sociales et santé;revue-sciences-sociales-et-sante;http://www.cairn.info/revue-sciences-sociales-et-sante.htm;0294-0337;1777-5914
Sciences sociales et sport;revue-sciences-sociales-et-sport;http://www.cairn.info/revue-sciences-sociales-et-sport.htm;1967-7359;N/A
Sociologie de l'Art;revue-sociologie-de-l-art;http://www.cairn.info/revue-sociologie-de-l-art.htm;0779-1674;N/A
Syntaxe et sémantique;revue-syntaxe-et-semantique;http://www.cairn.info/revue-syntaxe-et-semantique.htm;1623-6742;N/A
Transversalités;revue-transversalites;http://www.cairn.info/revue-transversalites.htm;1286-9449;N/A
