title;issn;eissn;pid;lien
"Controlling &amp; Management";1614-1822;1864-5410;12176;http://link.springer.com/journal/12176
Coral Reefs;0722-4028;1432-0975;338;http://link.springer.com/journal/338
Cosmic Research;0010-9525;1608-3075;10604;http://link.springer.com/journal/10604
Cost Effectiveness and Resource Allocation;;1478-7547;12962;http://link.springer.com/journal/12962
Cough;;1745-9974;12997;http://link.springer.com/journal/12997
Crime Science;;2193-7680;40163;http://link.springer.com/journal/40163
Crime, Law and Social Change;0925-4994;1573-0751;10611;http://link.springer.com/journal/10611
Criminal Law and Philosophy;1871-9791;1871-9805;11572;http://link.springer.com/journal/11572
Criminal Law Forum;1046-8374;1572-9850;10609;http://link.springer.com/journal/10609
Critical Care;1574-4280;1875-7081;12426;http://link.springer.com/journal/12426
Critical Care;;1364-8535;13054;http://link.springer.com/journal/13054
Critical Criminology;1205-8629;1572-9877;10612;http://link.springer.com/journal/10612
Critical Ultrasound Journal;2036-3176;2036-7902;13089;http://link.springer.com/journal/13089
Cryptography and Communications;1936-2447;1936-2455;12095;http://link.springer.com/journal/12095
Crystallography Reports;1063-7745;1562-689X;11445;http://link.springer.com/journal/11445
CSI Transactions on ICT;2277-9078;2277-9086;40012;http://link.springer.com/journal/40012
Cultural Studies of Science Education;1871-1502;1871-1510;11422;http://link.springer.com/journal/11422
Culture, Medicine, and Psychiatry;0165-005X;1573-076X;11013;http://link.springer.com/journal/11013
Current Allergy and Asthma Reports;1529-7322;1534-6315;11882;http://link.springer.com/journal/11882
Current Anesthesiology Reports;;2167-6275;40140;http://link.springer.com/journal/40140
Current Atherosclerosis Reports;1523-3804;1534-6242;11883;http://link.springer.com/journal/11883
Current Attention Disorders Reports;1943-4561;1943-457X;12618;http://link.springer.com/journal/12618
Current Bladder Dysfunction Reports;1931-7212;1931-7220;11884;http://link.springer.com/journal/11884
Current Breast Cancer Reports;1943-4588;1943-4596;12609;http://link.springer.com/journal/12609
Current Cardiology Reports;1523-3782;1534-3170;11886;http://link.springer.com/journal/11886
Current Cardiovascular Imaging Reports;1941-9066;1941-9074;12410;http://link.springer.com/journal/12410
Current Cardiovascular Risk Reports;1932-9520;1932-9563;12170;http://link.springer.com/journal/12170
Current Colorectal Cancer Reports;1556-3790;1556-3804;11888;http://link.springer.com/journal/11888
Current Dermatology Reports;;2162-4933;13671;http://link.springer.com/journal/13671
Current Diabetes Reports;1534-4827;1539-0829;11892;http://link.springer.com/journal/11892
Current Emergency and Hospital Medicine Reports;;2167-4884;40138;http://link.springer.com/journal/40138
Current Fungal Infection Reports;1936-3761;1936-377X;12281;http://link.springer.com/journal/12281
Current Gastroenterology Reports;1522-8037;1534-312X;11894;http://link.springer.com/journal/11894
Current Genetic Medicine Reports;;2167-4876;40142;http://link.springer.com/journal/40142
Current Genetics;0172-8083;1432-0983;294;http://link.springer.com/journal/294
Current GERD Reports;1934-967X;1934-9661;12171;http://link.springer.com/journal/12171
Current Heart Failure Reports;1546-9530;1546-9549;11897;http://link.springer.com/journal/11897
Current Hematologic Malignancy Reports;1558-8211;1558-822X;11899;http://link.springer.com/journal/11899
Current Hepatology Reports;1540-3416;1541-0706;11901;http://link.springer.com/journal/11901
Current HIV/AIDS Reports;1548-3568;1548-3576;11904;http://link.springer.com/journal/11904
Current Hypertension Reports;1522-6417;1534-3111;11906;http://link.springer.com/journal/11906
Current Infectious Disease Reports;1523-3847;1534-3146;11908;http://link.springer.com/journal/11908
Current Microbiology;0343-8651;1432-0991;284;http://link.springer.com/journal/284
Current Neurology and Neuroscience Reports;1528-4042;1534-6293;11910;http://link.springer.com/journal/11910
Current Nutrition Reports;;2161-3311;13668;http://link.springer.com/journal/13668
Current Obesity Reports;;2162-4968;13679;http://link.springer.com/journal/13679
Current Obstetrics and Gynecology Reports;;2161-3303;13669;http://link.springer.com/journal/13669
Current Oncology Reports;1523-3790;1534-6269;11912;http://link.springer.com/journal/11912
Current Ophthalmology Reports;;2167-4868;40135;http://link.springer.com/journal/40135
Current Osteoporosis Reports;1544-1873;1544-2241;11914;http://link.springer.com/journal/11914
Current Otorhinolaryngology Reports;;2167-583X;40136;http://link.springer.com/journal/40136
Current Pain and Headache Reports;1531-3433;1534-3081;11916;http://link.springer.com/journal/11916
Current Pathobiology Reports;;2167-485X;40139;http://link.springer.com/journal/40139
Current Pediatrics Reports;;2167-4841;40124;http://link.springer.com/journal/40124
Current Physical Medicine and Rehabilitation Reports;;2167-4833;40141;http://link.springer.com/journal/40141
Current Prostate Reports;1544-225X;1544-1865;11918;http://link.springer.com/journal/11918
Current Psychiatry Reports;1523-3812;1535-1645;11920;http://link.springer.com/journal/11920
Current Psychological Research;0144-3895;1936-4733;12391;http://link.springer.com/journal/12391
Current Psychology;1046-1310;1936-4733;12144;http://link.springer.com/journal/12144
"Current Psychosis &amp; Therapeutics Reports";1545-8083;1545-8091;11922;http://link.springer.com/journal/11922
Current Radiology Reports;;2167-4825;40134;http://link.springer.com/journal/40134
Current Respiratory Care Reports;;2161-332X;13665;http://link.springer.com/journal/13665
Current Reviews in Musculoskeletal Medicine;1935-973X;1935-9748;12178;http://link.springer.com/journal/12178
Current Rheumatology Reports;1523-3774;1534-6307;11926;http://link.springer.com/journal/11926
Current Sexual Health Reports;1548-3584;1548-3592;11930;http://link.springer.com/journal/11930
Current Sports Medicine Reports;1537-890X;1537-8918;11932;http://link.springer.com/journal/11932
Current Surgery Reports;;2167-4817;40137;http://link.springer.com/journal/40137
Current Translational Geriatrics and Gerontology Reports;;2162-4941;13670;http://link.springer.com/journal/13670
Current Treatment Options in Cardiovascular Medicine;1092-8464;1534-3189;11936;http://link.springer.com/journal/11936
Current Treatment Options in Gastroenterology;1092-8472;1534-309X;11938;http://link.springer.com/journal/11938
Current Treatment Options in Neurology;1092-8480;1534-3138;11940;http://link.springer.com/journal/11940
Current Treatment Options in Oncology;1527-2729;1534-6277;11864;http://link.springer.com/journal/11864
Current Urology Reports;1527-2737;1534-6285;11934;http://link.springer.com/journal/11934
Cybernetics and Systems Analysis;1060-0396;1573-8337;10559;http://link.springer.com/journal/10559
Cytology and Genetics;0095-4527;1934-9440;11956;http://link.springer.com/journal/11956
Cytotechnology;0920-9069;1573-0778;10616;http://link.springer.com/journal/10616
Czechoslovak Journal of Physics;0011-4626;1572-9486;10582;http://link.springer.com/journal/10582
Czechoslovak Mathematical Journal;0011-4642;1572-9141;10587;http://link.springer.com/journal/10587
"CÃ´lon &amp; Rectum";1951-6371;1951-638X;11725;http://link.springer.com/journal/11725
"Dairy Science &amp; Technology";1958-5586;1958-5594;13594;http://link.springer.com/journal/13594
Dao;1540-3009;1569-7274;11712;http://link.springer.com/journal/11712
DARU Journal of Pharmaceutical Sciences;;2008-2231;40199;http://link.springer.com/journal/40199
Data Mining and Knowledge Discovery;1384-5810;1573-756X;10618;http://link.springer.com/journal/10618
Datenbank-Spektrum;1618-2162;1610-1995;13222;http://link.springer.com/journal/13222
Datenschutz und Datensicherheit - DuD;1614-0702;1862-2607;11623;http://link.springer.com/journal/11623
De Economist;0013-063X;1572-9982;10645;http://link.springer.com/journal/10645
Debates in Neuroscience;1559-8314;1559-8357;11559;http://link.springer.com/journal/11559
Decisions in Economics and Finance;1593-8883;1129-6569;10203;http://link.springer.com/journal/10203
Demography;0070-3370;1533-7790;13524;http://link.springer.com/journal/13524
Denkbeeld;0926-7182;1876-5653;12428;http://link.springer.com/journal/12428
Der Anaesthesist;0003-2417;1432-055X;101;http://link.springer.com/journal/101
Der Chirurg;0009-4722;1433-0385;104;http://link.springer.com/journal/104
Der Diabetologe;1860-9716;1860-9724;11428;http://link.springer.com/journal/11428
Der Freie Zahnarzt;0340-1766;2190-3824;12614;http://link.springer.com/journal/12614
Der Gastroenterologe;1861-9681;1861-969X;11377;http://link.springer.com/journal/11377
Der GynÃ¤kologe;0017-5994;1433-0393;129;http://link.springer.com/journal/129
Der Hautarzt;0017-8470;1432-1173;105;http://link.springer.com/journal/105
Der Internist;0020-9554;1432-1289;108;http://link.springer.com/journal/108
der junge zahnarzt;1869-5744;1869-5752;13279;http://link.springer.com/journal/13279
Der Kardiologe;1864-9718;1864-9726;12181;http://link.springer.com/journal/12181
der markt;0025-3863;1867-8882;12642;http://link.springer.com/journal/12642
Der MKG-Chirurg;1865-9659;1865-9667;12285;http://link.springer.com/journal/12285
Der Nephrologe;1862-040X;1862-0418;11560;http://link.springer.com/journal/11560
Der Nervenarzt;0028-2804;1433-0407;115;http://link.springer.com/journal/115
Der Onkologe;0947-8965;1433-0415;761;http://link.springer.com/journal/761
Der Ophthalmologe;0941-293X;1433-0423;347;http://link.springer.com/journal/347
Der OrthopÃ¤de;0085-4530;1433-0431;132;http://link.springer.com/journal/132
Der Pathologe;0172-8113;1432-1963;292;http://link.springer.com/journal/292
Der Pneumologe;1613-5636;1613-6055;10405;http://link.springer.com/journal/10405
Der Radiologe;0033-832X;1432-2102;117;http://link.springer.com/journal/117
Der Schmerz;0932-433X;1432-2129;482;http://link.springer.com/journal/482
Der Unfallchirurg;0177-5537;1433-044X;113;http://link.springer.com/journal/113
Der Urologe;0340-2592;1433-0563;120;http://link.springer.com/journal/120
Der Urologe B;0042-1111;;131;http://link.springer.com/journal/131
Dermatology and Therapy;2193-8210;2190-9172;13555;http://link.springer.com/journal/13555
Design Automation for Embedded Systems;0929-5585;1572-8080;10617;http://link.springer.com/journal/10617
Designs, Codes and Cryptography;0925-1022;1573-7586;10623;http://link.springer.com/journal/10623
Development Genes and Evolution;0949-944X;1432-041X;427;http://link.springer.com/journal/427
Diabetes Therapy;1869-6953;1869-6961;13300;http://link.springer.com/journal/13300
Diabetologia;0012-186X;1432-0428;125;http://link.springer.com/journal/125
Diabetologia Notes de lecture;2100-0719;2102-6246;13116;http://link.springer.com/journal/13116
Diabetology and Metabolic Syndrome;;1758-5996;13098;http://link.springer.com/journal/13098
Diabetology International;2190-1678;2190-1686;13340;http://link.springer.com/journal/13340
Diagnostic Pathology;;1746-1596;13000;http://link.springer.com/journal/13000
Dialectical Anthropology;0304-4092;1573-0786;10624;http://link.springer.com/journal/10624
Die Weltwirtschaft;0043-2652;1613-9828;10289;http://link.springer.com/journal/10289
Differential Equations;0012-2661;1608-3083;10625;http://link.springer.com/journal/10625
Differential Equations and Dynamical Systems;0971-3514;0974-6870;12591;http://link.springer.com/journal/12591
Digestive Diseases and Sciences;0163-2116;1573-2568;10620;http://link.springer.com/journal/10620
Directieve therapie;0167-238X;1875-6824;12433;http://link.springer.com/journal/12433
"Discrete &amp; Computational Geometry";0179-5376;1432-0444;454;http://link.springer.com/journal/454
Discrete Event Dynamic Systems;0924-6703;1573-7594;10626;http://link.springer.com/journal/10626
"Disease Management &amp; Health Outcomes";1173-8790;;40283;http://link.springer.com/journal/40283
"Diseases of the Colon &amp; Rectum";0012-3706;1530-0358;10350;http://link.springer.com/journal/10350
Distributed and Parallel Databases;0926-8782;1573-7578;10619;http://link.springer.com/journal/10619
Distributed Computing;0178-2770;1432-0452;446;http://link.springer.com/journal/446
Documenta Ophthalmologica;0012-4486;1573-2622;10633;http://link.springer.com/journal/10633
Doklady Biochemistry and Biophysics;1607-6729;1608-3091;10628;http://link.springer.com/journal/10628
Doklady Biological Sciences;0012-4966;1608-3105;10630;http://link.springer.com/journal/10630
Doklady Biophysics;0012-4974;1573-8930;10629;http://link.springer.com/journal/10629
Doklady Botanical Sciences;0012-4982;1573-8442;10635;http://link.springer.com/journal/10635
Doklady Chemical Technology;0012-4990;1573-8957;10632;http://link.springer.com/journal/10632
Doklady Chemistry;0012-5008;1608-3113;10631;http://link.springer.com/journal/10631
Doklady Earth Sciences;1028-334X;1531-8354;11471;http://link.springer.com/journal/11471
Doklady Mathematics;1064-5624;1531-8362;11472;http://link.springer.com/journal/11472
Doklady Physical Chemistry;0012-5016;1608-3121;10634;http://link.springer.com/journal/10634
Doklady Physics;1028-3358;1562-6903;11446;http://link.springer.com/journal/11446
Douleur et AnalgÃ©sie;1011-288X;1951-6398;11724;http://link.springer.com/journal/11724
Dreaming;1053-0797;1573-3351;10636;http://link.springer.com/journal/10636
Drug Delivery and Translational Research;2190-393X;2190-3948;13346;http://link.springer.com/journal/13346
Drug Safety;0114-5916;1179-1942;40264;http://link.springer.com/journal/40264
Drugs;0012-6667;1179-1950;40265;http://link.springer.com/journal/40265
"Drugs &amp; Aging";1170-229X;1179-1969;40266;http://link.springer.com/journal/40266
"Drugs &amp; Therapy Perspectives";1172-0360;1179-1977;40267;http://link.springer.com/journal/40267
"Drugs in R&amp;D";1174-5886;1179-6901;40268;http://link.springer.com/journal/40268
Dynamic Games and Applications;2153-0785;2153-0793;13235;http://link.springer.com/journal/13235
Dynamics and Control;0925-4668;1573-8450;10638;http://link.springer.com/journal/10638
Dysphagia;0179-051X;1432-0460;455;http://link.springer.com/journal/455
"e &amp; i Elektrotechnik und Informationstechnik";0932-383X;1613-7620;502;http://link.springer.com/journal/502
e-Neuroforum;;1868-856X;13295;http://link.springer.com/journal/13295
Early Childhood Education Journal;1082-3301;1573-1707;10643;http://link.springer.com/journal/10643
Earth Science Informatics;1865-0473;1865-0481;12145;http://link.springer.com/journal/12145
Earth, Moon, and Planets;0167-9295;1573-0794;11038;http://link.springer.com/journal/11038
Earthquake Engineering and Engineering Vibration;1671-3664;1993-503X;11803;http://link.springer.com/journal/11803
Earthquake Science;1674-4519;1867-8777;11589;http://link.springer.com/journal/11589
East Asia;1096-6838;1874-6284;12140;http://link.springer.com/journal/12140
East Asian Science, Technology and Society: an International Journal;1875-2160;1875-2152;12280;http://link.springer.com/journal/12280
EcoHealth;1612-9202;1612-9210;10393;http://link.springer.com/journal/10393
Ecological Processes;;2192-1709;13717;http://link.springer.com/journal/13717
Ecological Research;0912-3814;1440-1703;11284;http://link.springer.com/journal/11284
Economic Botany;0013-0001;1874-9364;12231;http://link.springer.com/journal/12231
Economic Bulletin;0343-754X;1438-261X;10160;http://link.springer.com/journal/10160
Economic Change and Restructuring;1573-9414;1574-0277;10644;http://link.springer.com/journal/10644
Economic Theory;0938-2259;1432-0479;199;http://link.springer.com/journal/199
Economics of Governance;1435-6104;1435-8131;10101;http://link.springer.com/journal/10101
Ecosystems;1432-9840;1435-0629;10021;http://link.springer.com/journal/10021
Ecotoxicology;0963-9292;1573-3017;10646;http://link.springer.com/journal/10646
Education and Information Technologies;1360-2357;1573-7608;10639;http://link.springer.com/journal/10639
Educational Assessment, Evaluation and Accountability;1874-8597;1874-8600;11092;http://link.springer.com/journal/11092
Educational Psychology Review;1040-726X;1573-336X;10648;http://link.springer.com/journal/10648
Educational Research for Policy and Practice;1570-2081;1573-1723;10671;http://link.springer.com/journal/10671
Educational Studies in Mathematics;0013-1954;1573-0816;10649;http://link.springer.com/journal/10649
Educational Technology Research and Development;1042-1629;1556-6501;11423;http://link.springer.com/journal/11423
EJNMMI Research;;2191-219X;13550;http://link.springer.com/journal/13550
Electrical Engineering;0948-7921;1432-0487;202;http://link.springer.com/journal/202
Electrocatalysis;1868-2529;1868-5994;12678;http://link.springer.com/journal/12678
Electronic Commerce Research;1389-5753;1572-9362;10660;http://link.springer.com/journal/10660
Electronic Markets;1019-6781;1422-8890;12525;http://link.springer.com/journal/12525
Electronic Materials Letters;1738-8090;2093-6788;13391;http://link.springer.com/journal/13391
Elemente der Mathematik;0013-6018;1420-8962;17;http://link.springer.com/journal/17
Emergency Radiology;1070-3004;1438-1435;10140;http://link.springer.com/journal/10140
Emerging Themes in Epidemiology;;1742-7622;12982;http://link.springer.com/journal/12982
Empirica;0340-8744;1573-6911;10663;http://link.springer.com/journal/10663
Empirical Economics;0377-7332;1435-8921;181;http://link.springer.com/journal/181
Empirical Software Engineering;1382-3256;1573-7616;10664;http://link.springer.com/journal/10664
Employee Responsibilities and Rights Journal;0892-7545;1573-3378;10672;http://link.springer.com/journal/10672
Endocrine;1355-008X;1559-0100;12020;http://link.springer.com/journal/12020
Endocrine Pathology;1046-3976;1559-0097;12022;http://link.springer.com/journal/12022
Energy Efficiency;1570-646X;1570-6478;12053;http://link.springer.com/journal/12053
Energy Systems;1868-3967;1868-3975;12667;http://link.springer.com/journal/12667
Energy, Sustainability and Society;;2192-0567;13705;http://link.springer.com/journal/13705
Engineering with Computers;0177-0667;1435-5663;366;http://link.springer.com/journal/366
Entomological Review;0013-8738;1555-6689;11474;http://link.springer.com/journal/11474
"Environment Systems &amp; Decisions";2194-5403;2194-5411;10669;http://link.springer.com/journal/10669
Environment, Development and Sustainability;1387-585X;1573-2975;10668;http://link.springer.com/journal/10668
Environmental and Ecological Statistics;1352-8505;1573-3009;10651;http://link.springer.com/journal/10651
Environmental and Resource Economics;0924-6460;1573-1502;10640;http://link.springer.com/journal/10640
Environmental Biology of Fishes;0378-1909;1573-5133;10641;http://link.springer.com/journal/10641
Environmental Chemistry Letters;1610-3653;1610-3661;10311;http://link.springer.com/journal/10311
Environmental Earth Sciences;1866-6280;1866-6299;12665;http://link.springer.com/journal/12665
Environmental Economics and Policy Studies;1432-847X;1867-383X;10018;http://link.springer.com/journal/10018
Environmental Evidence;;2047-2382;13750;http://link.springer.com/journal/13750
Environmental Fluid Mechanics;1567-7419;1573-1510;10652;http://link.springer.com/journal/10652
Environmental Geochemistry and Health;0269-4042;1573-2983;10653;http://link.springer.com/journal/10653
Environmental Geology;0943-0105;1866-6299;254;http://link.springer.com/journal/254
Environmental Health;;1476-069X;12940;http://link.springer.com/journal/12940
Environmental Health and Preventive Medicine;1342-078X;1347-4715;12199;http://link.springer.com/journal/12199
Environmental Management;0364-152X;1432-1009;267;http://link.springer.com/journal/267
"Environmental Modeling &amp; Assessment";1420-2026;1573-2967;10666;http://link.springer.com/journal/10666
Environmental Monitoring and Assessment;0167-6369;1573-2959;10661;http://link.springer.com/journal/10661
Environmental Science and Pollution Research;0944-1344;1614-7499;11356;http://link.springer.com/journal/11356
Environmental Sciences Europe;2190-4707;2190-4715;12302;http://link.springer.com/journal/12302
Environmental Systems Research;;2193-2697;40068;http://link.springer.com/journal/40068
"Epidemiologic Perspectives &amp; Innovations";;1742-5573;12980;http://link.springer.com/journal/12980
"Epigenetics &amp; Chromatin";;1756-8935;13072;http://link.springer.com/journal/13072
Epileptic Disorders;1950-6945;1950-6945;13315;http://link.springer.com/journal/13315
EPJ Data Science;;2193-1127;13688;http://link.springer.com/journal/13688
EPJ direct;1435-3725;;10105;http://link.springer.com/journal/10105
ERA Forum;1612-3093;1863-9038;12027;http://link.springer.com/journal/12027
Erkenntnis;0165-0106;1572-8420;10670;http://link.springer.com/journal/10670
ErnÃ¤hrung - Wissenschaft und Praxis;1864-3825;1864-3914;12082;http://link.springer.com/journal/12082
Erwerbs-Obstbau;0014-0309;1439-0302;10341;http://link.springer.com/journal/10341
Erziehungswissenschaft;0938-5363;1862-5231;11611;http://link.springer.com/journal/11611
Esophagus;1612-9059;1612-9067;10388;http://link.springer.com/journal/10388
Estuaries and Coasts;1559-2723;1559-2731;12237;http://link.springer.com/journal/12237
Ethical Theory and Moral Practice;1386-2820;1572-8447;10677;http://link.springer.com/journal/10677
Ethics and Information Technology;1388-1957;1572-8439;10676;http://link.springer.com/journal/10676
Ethik in der Medizin;0935-7335;1437-1618;481;http://link.springer.com/journal/481
Euphytica;0014-2336;1573-5060;10681;http://link.springer.com/journal/10681
Eurasian Soil Science;1064-2293;1556-195X;11475;http://link.springer.com/journal/11475
EURASIP Journal on Advances in Signal Processing;;1687-6180;13634;http://link.springer.com/journal/13634
EURASIP Journal on Audio, Speech, and Music Processing;;1687-4722;13636;http://link.springer.com/journal/13636
EURASIP Journal on Bioinformatics and Systems Biology;;1687-4153;13637;http://link.springer.com/journal/13637
EURASIP Journal on Embedded Systems;;1687-3963;13639;http://link.springer.com/journal/13639
EURASIP Journal on Image and Video Processing;;1687-5281;13640;http://link.springer.com/journal/13640
EURASIP Journal on Information Security;;1687-417X;13635;http://link.springer.com/journal/13635
EURASIP Journal on Wireless Communications and Networking;;1687-1499;13638;http://link.springer.com/journal/13638
EURO Journal on Computational Optimization;2192-4406;2192-4414;13675;http://link.springer.com/journal/13675
EURO Journal on Transportation and Logistics;2192-4376;2192-4384;13676;http://link.springer.com/journal/13676
European Actuarial Journal;2190-9733;2190-9741;13385;http://link.springer.com/journal/13385
European Archives of Oto-Rhino-Laryngology;0937-4477;1434-4726;405;http://link.springer.com/journal/405
European Archives of Paediatric Dentistry;1818-6300;1996-9805;40368;http://link.springer.com/journal/40368
European Archives of Psychiatry and Clinical Neuroscience;0940-1334;1433-8491;406;http://link.springer.com/journal/406
European Biophysics Journal;0175-7571;1432-1017;249;http://link.springer.com/journal/249
"European Child &amp; Adolescent Psychiatry";1018-8827;1435-165X;787;http://link.springer.com/journal/787
European Clinics in Obstetrics and Gynaecology;1613-3412;1613-3420;11296;http://link.springer.com/journal/11296
European Demographic Information Bulletin;0046-2756;;12365;http://link.springer.com/journal/12365
European Food Research and Technology;1438-2377;1438-2385;217;http://link.springer.com/journal/217
European Journal for Education Law and Policy;1386-8349;1573-1715;10650;http://link.springer.com/journal/10650
European Journal for Philosophy of Science;1879-4912;1879-4920;13194;http://link.springer.com/journal/13194
European Journal of Ageing;1613-9372;1613-9380;10433;http://link.springer.com/journal/10433
European Journal of Applied Physiology;1439-6319;1439-6327;421;http://link.springer.com/journal/421
"European Journal of Clinical Microbiology &amp; Infectious Diseases";0934-9723;1435-4373;10096;http://link.springer.com/journal/10096
European Journal of Clinical Pharmacology;0031-6970;1432-1041;228;http://link.springer.com/journal/228
European Journal of Drug Metabolism and Pharmacokinetics;0378-7966;2107-0180;13318;http://link.springer.com/journal/13318
European Journal of Epidemiology;0393-2990;1573-7284;10654;http://link.springer.com/journal/10654
European Journal of Forest Research;1612-4669;1612-4677;10342;http://link.springer.com/journal/10342
European Journal of Law and Economics;0929-1261;1572-9990;10657;http://link.springer.com/journal/10657
European Journal of Medical Research;;2047-783X;40001;http://link.springer.com/journal/40001
European Journal of Nuclear Medicine and Molecular Imaging;1619-7070;1619-7089;259;http://link.springer.com/journal/259
European Journal of Nutrition;1436-6207;1436-6215;394;http://link.springer.com/journal/394
"European Journal of Orthopaedic Surgery &amp; Traumatology";1633-8065;1432-1068;590;http://link.springer.com/journal/590
European Journal of Pediatrics;0340-6199;1432-1076;431;http://link.springer.com/journal/431
European Journal of Plant Pathology;0929-1873;1573-8469;10658;http://link.springer.com/journal/10658
European Journal of Plastic Surgery;0930-343X;1435-0130;238;http://link.springer.com/journal/238
European Journal of Political Research;0304-4130;1475-6765;11112;http://link.springer.com/journal/11112
European Journal of Population / Revue europÃ©enne de DÃ©mographie;0168-6577;1572-9885;10680;http://link.springer.com/journal/10680
European Journal of Psychology of Education;0256-2928;1878-5174;10212;http://link.springer.com/journal/10212
European Journal of Trauma and Emergency Surgery;1863-9933;1863-9941;68;http://link.springer.com/journal/68
European Journal of Wildlife Research;1612-4642;1439-0574;10344;http://link.springer.com/journal/10344
European Journal of Wood and Wood Products;0018-3768;1436-736X;107;http://link.springer.com/journal/107
European Journal on Criminal Policy and Research;0928-1371;1572-9869;10610;http://link.springer.com/journal/10610
European Orthopaedics and Traumatology;1867-4569;1867-4577;12570;http://link.springer.com/journal/12570
European Radiology;0938-7994;1432-1084;330;http://link.springer.com/journal/330
European Radiology Supplements;1613-3749;1613-3757;10406;http://link.springer.com/journal/10406
European Review of Aging and Physical Activity;1813-7253;1861-6909;11556;http://link.springer.com/journal/11556
European Spine Journal;0940-6719;1432-0932;586;http://link.springer.com/journal/586
European Surgery;1682-8631;1682-4016;10353;http://link.springer.com/journal/10353
European Transport Research Review;1867-0717;1866-8887;12544;http://link.springer.com/journal/12544
European View;1781-6858;1865-5831;12290;http://link.springer.com/journal/12290
Europhysics News;0531-7479;1432-1092;770;http://link.springer.com/journal/770
EuropÃ¤isches Journal fÃ¼r Minderheitenfragen;1865-1089;1865-1097;12241;http://link.springer.com/journal/12241
Evidence-Based Integrative Medicine;1176-2330;;40284;http://link.springer.com/journal/40284
EvoDevo;;2041-9139;13227;http://link.springer.com/journal/13227
Evolution: Education and Outreach;1936-6426;1936-6434;12052;http://link.springer.com/journal/12052
Evolutionary Biology;0071-3260;1934-2845;11692;http://link.springer.com/journal/11692
Evolutionary Ecology;0269-7653;1573-8477;10682;http://link.springer.com/journal/10682
Evolutionary Intelligence;1864-5909;1864-5917;12065;http://link.springer.com/journal/12065
Evolving Systems;1868-6478;1868-6486;12530;http://link.springer.com/journal/12530
"Experimental &amp; Translational Stroke Medicine";;2040-7378;13231;http://link.springer.com/journal/13231
Experimental and Applied Acarology;0168-8162;1572-9702;10493;http://link.springer.com/journal/10493
Experimental Astronomy;0922-6435;1572-9508;10686;http://link.springer.com/journal/10686
Experimental Biology Online;1435-3237;1430-3418;898;http://link.springer.com/journal/898
Experimental Brain Research;0014-4819;1432-1106;221;http://link.springer.com/journal/221
Experimental Economics;1386-4157;1573-6938;10683;http://link.springer.com/journal/10683
"Experimental Hematology &amp; Oncology";;2162-3619;40164;http://link.springer.com/journal/40164
Experimental Mechanics;0014-4851;1741-2765;11340;http://link.springer.com/journal/11340
Experiments in Fluids;0723-4864;1432-1114;348;http://link.springer.com/journal/348
Expert Evidence;0965-3643;1573-9694;10684;http://link.springer.com/journal/10684
"Extreme Physiology &amp; Medicine";;2046-7648;13728;http://link.springer.com/journal/13728
Extremes;1386-1999;1572-915X;10687;http://link.springer.com/journal/10687
Extremophiles;1431-0651;1433-4909;792;http://link.springer.com/journal/792
Facies;0172-9179;1612-4820;10347;http://link.springer.com/journal/10347
Familial Cancer;1389-9600;1573-7292;10689;http://link.springer.com/journal/10689
Feminist Legal Studies;0966-3622;1572-8455;10691;http://link.springer.com/journal/10691
Few-Body Systems;0177-7963;1432-5411;601;http://link.springer.com/journal/601
Fibers and Polymers;1229-9197;1875-0052;12221;http://link.springer.com/journal/12221
Fibre Chemistry;0015-0541;1573-8493;10692;http://link.springer.com/journal/10692
"Fibrogenesis &amp; Tissue Repair";;1755-1536;13069;http://link.springer.com/journal/13069
Filaria Journal;;1475-2883;13564;http://link.springer.com/journal/13564
Finance and Stochastics;0949-2984;1432-1122;780;http://link.springer.com/journal/780
Financial Markets and Portfolio Management;1555-4961;1555-497X;11408;http://link.springer.com/journal/11408
Fire Science Reviews;;2193-0414;40038;http://link.springer.com/journal/40038
Fire Technology;0015-2684;1572-8099;10694;http://link.springer.com/journal/10694
Fish Physiology and Biochemistry;0920-1742;1573-5168;10695;http://link.springer.com/journal/10695
Fisheries Science;0919-9268;1444-2906;12562;http://link.springer.com/journal/12562
Fixed Point Theory and Applications;;1687-1812;13663;http://link.springer.com/journal/13663
Flavour;;2044-7248;13411;http://link.springer.com/journal/13411
Flexible Services and Manufacturing Journal;1936-6582;1936-6590;10696;http://link.springer.com/journal/10696
Flow, Turbulence and Combustion;1386-6184;1573-1987;10494;http://link.springer.com/journal/10494
Fluid Dynamics;0015-4628;1573-8507;10697;http://link.springer.com/journal/10697
Fluids and Barriers of the CNS;;2045-8118;12987;http://link.springer.com/journal/12987
focus neurogeriatrie;1864-1954;1864-1962;12151;http://link.springer.com/journal/12151
Folia Geobotanica;1211-9520;1874-9348;12224;http://link.springer.com/journal/12224
Folia Microbiologica;0015-5632;1874-9356;12223;http://link.springer.com/journal/12223
Food Analytical Methods;1936-9751;1936-976X;12161;http://link.springer.com/journal/12161
Food and Bioprocess Technology;1935-5130;1935-5149;11947;http://link.springer.com/journal/11947
Food and Environmental Virology;1867-0334;1867-0342;12560;http://link.springer.com/journal/12560
Food Biophysics;1557-1858;1557-1866;11483;http://link.springer.com/journal/11483
Food Digestion;1869-1978;1869-1986;13228;http://link.springer.com/journal/13228
Food Engineering Reviews;1866-7910;1866-7929;12393;http://link.springer.com/journal/12393
